Name,Global_Sales,Critic_Score
.hack//Infection Part 1,1.27,75
.hack//Mutation Part 2,0.68,76
.hack//Outbreak Part 3,0.46,70
[Prototype],1.31,78
[Prototype],1.24,79
[Prototype 2],0.79,74
[Prototype 2],0.74,79
[Prototype 2],0.11,76
007: Quantum of Solace,1.48,65
007: Quantum of Solace,1.14,65
007: Quantum of Solace,0.65,54
007: Quantum of Solace,0.03,70
007: The World is not Enough,0.92,61
007 Racing,0.53,51
100 Classic Books,0.66,70
15 Days,0.01,63
1701 A.D.,0.3,79
187: Ride or Die,0.15,52
187: Ride or Die,0.06,51
18 Wheeler: American Pro Trucker,0.4,61
18 Wheeler: American Pro Trucker,0.11,52
1 vs. 100,0.08,38
2002 FIFA World Cup,0.59,73
2002 FIFA World Cup,0.19,79
2002 FIFA World Cup,0.05,78
2010 FIFA World Cup South Africa,1.23,82
2010 FIFA World Cup South Africa,0.85,83
2010 FIFA World Cup South Africa,0.46,69
2010 FIFA World Cup South Africa,0.42,70
2014 FIFA World Cup Brazil,0.61,73
2014 FIFA World Cup Brazil,0.42,74
24: The Game,0.3,62
25 to Life,0.42,39
25 to Life,0.17,41
300: March to Glory,0.41,55
3D Dot Game Heroes,0.57,77
4x4 EVO 2,0.24,59
50 Cent: Blood on the Sand,0.21,71
50 Cent: Blood on the Sand,0.19,72
50 Cent: Bulletproof,1.77,47
50 Cent: Bulletproof,0.44,50
7 Days to Die,0.14,45
7 Days to Die,0.05,35
7th Dragon III Code: VFD,0.17,77
7 Wonders of the Ancient World,0.13,60
A Boy and His Blob,0.21,80
AC/DC LIVE: Rock Band Track Pack,0.24,60
AC/DC LIVE: Rock Band Track Pack,0.23,63
Academy of Champions: Soccer,0.12,64
Ace Attorney Investigations: Miles Edgeworth,0.7,78
Ace Combat: Assault Horizon,0.74,77
Ace Combat: Assault Horizon,0.49,78
Ace Combat: Assault Horizon Legacy,0.24,71
Ace Combat: Joint Assault,0.29,71
Ace Combat 04: Shattered Skies,3.17,89
Ace Combat 2,0.89,83
Ace Combat 5: The Unsung War,1.71,84
Ace Combat 6: Fires of Liberation,1.01,80
Ace Combat X: Skies of Deception,0.99,75
Ace Combat Zero: The Belkan War,0.51,75
Achtung Panzer: Kharkov 1943,0.02,70
Active Life: Outdoor Challenge,1.54,69
Activision Anthology,0.5,75
Act of Aggression,0.01,71
Advance Wars,0.7,92
Advance Wars: Dual Strike,0.39,90
Advance Wars 2: Black Hole Rising,0.65,89
Advent Rising,0.13,68
Adventure Time: The Secret of the Nameless Kingdom,0.08,65
Adventure Time: The Secret of the Nameless Kingdom,0.06,58
Aedis Eclipse: Generation of Chaos,0.02,62
Aegis of Earth: Protonovus Assault,0.03,57
Aeon Flux,0.04,66
Aeon Flux,0.01,69
Aero Elite: Combat Academy,0.07,64
Afrika,0.22,63
Afro Samurai,0.24,65
Afro Samurai,0.2,65
A Game of Thrones: Genesis,0.03,53
Agatha Christie: And Then There Were None,0.07,50
Agatha Christie: Evil Under the Sun,0.08,46
Agatha Christie: The ABC Murders,0.1,53
Agatha Christie: The ABC Murders,0.02,66
Agatha Christie's The ABC Murders,0.03,67
Agatha Christie's The ABC Murders,0.01,66
Age of Conan: Rise of the Godslayer,0.03,83
Age of Empires: Mythologies,0.21,78
Age of Empires: The Age of Kings,0.22,80
Age of Empires II: The Age of Kings,0.09,92
Age of Empires III,0.38,81
