Name,Critic_Score
.hack//Infection Part 1,75
.hack//Mutation Part 2,76
.hack//Outbreak Part 3,70
[Prototype],78
[Prototype],79
[Prototype 2],74
[Prototype 2],79
[Prototype 2],76
007: Quantum of Solace,65
007: Quantum of Solace,65
007: Quantum of Solace,54
007: Quantum of Solace,70
007: The World is not Enough,61
007 Racing,51
100 Classic Books,70
15 Days,63
1701 A.D.,79
187: Ride or Die,52
187: Ride or Die,51
18 Wheeler: American Pro Trucker,61
18 Wheeler: American Pro Trucker,52
1 vs. 100,38
2002 FIFA World Cup,73
2002 FIFA World Cup,79
2002 FIFA World Cup,78
2010 FIFA World Cup South Africa,82
2010 FIFA World Cup South Africa,83
2010 FIFA World Cup South Africa,69
2010 FIFA World Cup South Africa,70
2014 FIFA World Cup Brazil,73
2014 FIFA World Cup Brazil,74
24: The Game,62
25 to Life,39
25 to Life,41
300: March to Glory,55
3D Dot Game Heroes,77
4x4 EVO 2,59
50 Cent: Blood on the Sand,71
50 Cent: Blood on the Sand,72
50 Cent: Bulletproof,47
50 Cent: Bulletproof,50
7 Days to Die,45
7 Days to Die,35
7th Dragon III Code: VFD,77
7 Wonders of the Ancient World,60
A Boy and His Blob,80
AC/DC LIVE: Rock Band Track Pack,60
AC/DC LIVE: Rock Band Track Pack,63
Academy of Champions: Soccer,64
Ace Attorney Investigations: Miles Edgeworth,78
Ace Combat: Assault Horizon,77
Ace Combat: Assault Horizon,78
Ace Combat: Assault Horizon Legacy,71
Ace Combat: Joint Assault,71
Ace Combat 04: Shattered Skies,89
Ace Combat 2,83
Ace Combat 5: The Unsung War,84
Ace Combat 6: Fires of Liberation,80
Ace Combat X: Skies of Deception,75
Ace Combat Zero: The Belkan War,75
Achtung Panzer: Kharkov 1943,70
Active Life: Outdoor Challenge,69
Activision Anthology,75
Act of Aggression,71
Advance Wars,92
Advance Wars: Dual Strike,90
Advance Wars 2: Black Hole Rising,89
Advent Rising,68
Adventure Time: The Secret of the Nameless Kingdom,65
Adventure Time: The Secret of the Nameless Kingdom,58
Aedis Eclipse: Generation of Chaos,62
Aegis of Earth: Protonovus Assault,57
Aeon Flux,66
Aeon Flux,69
