Name,User_Score
.hack//Infection Part 1,8.5
.hack//Mutation Part 2,8.9
.hack//Outbreak Part 3,8.7
[Prototype],7.8
[Prototype],7.7
[Prototype 2],7
[Prototype 2],6.8
[Prototype 2],6.4
007: Quantum of Solace,7.1
007: Quantum of Solace,6.6
007: Quantum of Solace,7.5
007: Quantum of Solace,6.3
007: The World is not Enough,6.7
007 Racing,4.6
100 Classic Books,6
15 Days,5.8
1701 A.D.,8.3
187: Ride or Die,6.8
187: Ride or Die,6.9
18 Wheeler: American Pro Trucker,5.7
18 Wheeler: American Pro Trucker,6.8
1 vs. 100,3.2
2002 FIFA World Cup,5.6
2002 FIFA World Cup,9
2002 FIFA World Cup,7.7
2010 FIFA World Cup South Africa,7.8
2010 FIFA World Cup South Africa,8.1
2010 FIFA World Cup South Africa,7.4
2010 FIFA World Cup South Africa,6.7
2014 FIFA World Cup Brazil,4.3
2014 FIFA World Cup Brazil,4.4
24: The Game,8.2
25 to Life,4.9
25 to Life,7.2
300: March to Glory,7.1
3D Dot Game Heroes,8
4x4 EVO 2,6.2
50 Cent: Blood on the Sand,6.4
50 Cent: Blood on the Sand,7.2
50 Cent: Bulletproof,6.6
50 Cent: Bulletproof,5.9
7 Days to Die,5.9
7 Days to Die,5.2
7th Dragon III Code: VFD,8.2
7 Wonders of the Ancient World,8.3
A Boy and His Blob,8.7
AC/DC LIVE: Rock Band Track Pack,5.3
AC/DC LIVE: Rock Band Track Pack,4.9
Academy of Champions: Soccer,6.8
Ace Attorney Investigations: Miles Edgeworth,8.4
Ace Combat: Assault Horizon,6.7
Ace Combat: Assault Horizon,6.2
Ace Combat: Assault Horizon Legacy,7.8
Ace Combat: Joint Assault,7.2
Ace Combat 04: Shattered Skies,9.1
Ace Combat 2,8.2
Ace Combat 5: The Unsung War,9.1
Ace Combat 6: Fires of Liberation,7.9
Ace Combat X: Skies of Deception,8.3
Ace Combat Zero: The Belkan War,8.4
Achtung Panzer: Kharkov 1943,8.3
Active Life: Outdoor Challenge,8.1
Activision Anthology,7.7
Act of Aggression,7.1
Advance Wars,9
Advance Wars: Dual Strike,9
Advance Wars 2: Black Hole Rising,9.4
Advent Rising,7.5
Adventure Time: The Secret of the Nameless Kingdom,5.6
Adventure Time: The Secret of the Nameless Kingdom,7.5
Aedis Eclipse: Generation of Chaos,6.5
Aegis of Earth: Protonovus Assault,7.8
Aeon Flux,5.8
Aeon Flux,3
Aero Elite: Combat Academy,7
Afrika,6.2
Afro Samurai,6.2
Afro Samurai,6.1
A Game of Thrones: Genesis,4
Agatha Christie: And Then There Were None,6.2
Agatha Christie: Evil Under the Sun,7.3
Agatha Christie: The ABC Murders,6.5
Agatha Christie: The ABC Murders,8.5
Agatha Christie's The ABC Murders,6.2
Agatha Christie's The ABC Murders,7.5
Age of Conan: Rise of the Godslayer,8.4
Age of Empires: Mythologies,6.9
Age of Empires: The Age of Kings,7.9
Age of Empires II: The Age of Kings,9
Age of Empires III,7.7
Age of Empires III: The Asian Dynasties,8.5
Age of Empires Online,5.6
Age of Mythology,8.9
Age of Mythology: The Titans,8.7
Aggressive Inline,8.7
Aggressive Inline,7.7
Aggressive Inline,7.8
Airblade,5.8
Airborne Troops: Countdown to D-Day,8.1
Air Conflicts: Secret Wars,6.4
AirForce Delta Storm,7.1
AirForce Delta Strike,7
Airline Tycoon 2,5.5
Alan Wake,8.1
Alan Wake,8
Alias,8
Alias,6
Alice: Madness Returns,7.9
Alice: Madness Returns,8.1
Alice: Madness Returns,8.4
Alice in Wonderland,7.4
Alien: Isolation,8.1
Alien: Isolation,7.8
Alien: Isolation,8.4
Alien Hominid,8.3
Alien Hominid,8.5
Alien Resurrection,7.5
Aliens: Colonial Marines,3.8
Aliens: Colonial Marines,3.6
Aliens: Colonial Marines,3.5
Aliens: Infestation,8.2
Aliens in the Attic,6
Aliens versus Predator: Extinction,8.4
Aliens versus Predator: Extinction,7.7
Aliens vs Predator,7.3
Aliens vs Predator,7.3
Aliens vs Predator,7.4
Aliens vs Predator: Requiem,5.6
Alien Syndrome,6
Alien Syndrome,7.1
All-Pro Football 2K8,6.8
All-Pro Football 2K8,7.3
All-Star Baseball 2002,7.6
All-Star Baseball 2002,5.6
All-Star Baseball 2003,8.4
All-Star Baseball 2003,8.1
All-Star Baseball 2003,8
All-Star Baseball 2004,7.5
All-Star Baseball 2004,8.4
All-Star Baseball 2004,9.2
Alone in the Dark,5.7
Alone in the Dark,4.4
Alone in the Dark,5.4
Alone in the Dark,5.7
Alone in the Dark: Inferno,5.6
Alpha Protocol,6.9
Alpha Protocol,7.2
Alpha Protocol,7.5
Alter Echo,7
Altered Beast: Guardian of the Realms,4.8
Alter Ego,5.8
Alundra,9
Alvin and the Chipmunks,4.5
Alvin and the Chipmunks,3.6
Amazing Island,6.6
America's Army: Rise of a Soldier,7.4
America's Army: True Soldiers,6.7
America's Test Kitchen: Let's Get Cooking,5.6
American Chopper,7.5
American Chopper,5.9
American Idol,4.8
AMF Bowling 2004,4.4
AMF Xtreme Bowling,4.2
Amped: Freestyle Snowboarding,9
Amped 2,7.7
Amped 3,7.1
Amplitude,8.8
Anarchy Reigns,8.2
Anarchy Reigns,7.9
Angry Birds Star Wars,3.6
Angry Birds Star Wars,5.6
Angry Birds Star Wars,2
Angry Birds Star Wars,6.9
Angry Birds Trilogy,4.6
Angry Birds Trilogy,3.5
Angry Birds Trilogy,3.7
Anima - Gate of Memories,7.9
Animal Crossing,8.9
Animal Crossing: Amiibo Festival,4.4
Animal Crossing: City Folk,7.6
Animal Crossing: Happy Home Designer,6.9
Animal Crossing: New Leaf,8.7
Animal Crossing: Wild World,8.7
AniMates!,2.5
Anno 1701: Dawn of Discovery,7.5
Anno 2070,7
Anno 2205,5.9
Antz Extreme Racing,5
Antz Extreme Racing,8.7
Anubis II,2.7
Apache: Air Assault,6.1
Apache: Air Assault,6.4
Apache: Air Assault,7.5
APB Reloaded,5.7
Ape Escape,8.8
Ape Escape: On the Loose,6.4
Ape Escape 2,8.4
Ape Escape 3,8.5
Ape Escape Academy,5.8
Apex,9.1
Apollo Justice: Ace Attorney,8.1
Aquaman: Battle for Atlantis,3.1
Aquapazza: Aquaplus Dream Match,7.8
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,5.9
Arcana Heart,8.1
Arcana Heart 3,7.5
Arcania: Gothic 4,4.4
Arcania: Gothic 4,5.2
Archer Maclean's Mercury,6.6
Arc Rise Fantasia,7.8
Arc the Lad: End of Darkness,4.2
Arc the Lad: Twilight of the Spirits,8.2
Arctic Thunder,5.3
Area 51,8.4
Area 51,8.1
Arena Football,8.6
Arena Football,8.5
Arkanoid DS,7
ArmA II,7.5
ArmA III,7.4
Armed and Dangerous,7.2
Armored Core: For Answer,7.6
Armored Core: For Answer,7.7
Armored Core: Last Raven,8.9
Armored Core: Nexus,8.7
Armored Core: Nine Breaker,8.2
Armored Core: Verdict Day,7.4
Armored Core 2,8.4
Armored Core 2: Another Age,8.8
Armored Core 3,9
Armored Core 3 Portable,6.7
Armored Core 4,6.8
Armored Core 4,7.2
Armored Core V,7.3
Armored Core V,7.2
Army Corps of Hell,6.6
Army Men: Air Attack 2,5.3
Army Men: Green Rogue,3.8
Army Men: Major Malfunction,4
Army Men: Sarge's Heroes 2,7.3
Army Men: Sarge's Heroes 2,4.6
Army Men: Sarge's War,6.7
Army of Two,7.6
Army of Two,7.3
Army of Two: The 40th Day,7.3
Army of Two: The 40th Day,7
Army of Two: The 40th Day,6
Army of Two: The Devil's Cartel,6.7
Army of Two: The Devil's Cartel,6.2
Ar Nosurge: Ode to an Unborn Star,7.8
Arslan: The Warriors of Legend,6.6
Art Academy,8
Art Academy: Home Studio,8.3
Art Academy: Lessons for Everyone,7.6
Art of Fighting Anthology,7
Ar tonelico: Melody of Elemia,7.7
Ar tonelico Qoga: Knell of Ar Ciel,5.4
Arx Fatalis,8.2
Asphalt: Injection,4.8
Asphalt: Urban GT,7.5
Asphalt 3D,4.4
Assassin's Creed,7.7
Assassin's Creed,7.3
Assassin's Creed: Altair's Chronicles,6.3
Assassin's Creed: Bloodlines,7.2
Assassin's Creed: Brotherhood,8.3
Assassin's Creed: Brotherhood,8.2
Assassin's Creed: Brotherhood,8.2
Assassin's Creed: Revelations,7.5
Assassin's Creed: Revelations,7.2
Assassin's Creed: Revelations,7.4
Assassin's Creed: Rogue,7.5
Assassin's Creed: Rogue,7.3
Assassin's Creed: Rogue,7.5
Assassin's Creed: Unity,4.9
Assassin's Creed: Unity,4.1
Assassin's Creed: Unity,3
Assassin's Creed Chronicles,8
Assassin's Creed Chronicles: China,6.4
Assassin's Creed II,8.6
Assassin's Creed II,8.8
Assassin's Creed II,6.9
Assassin's Creed II: Discovery,7.3
Assassin's Creed III,6.9
Assassin's Creed III,6.7
Assassin's Creed III,6.2
Assassin's Creed III,7.1
Assassin's Creed III: Liberation,7.2
Assassin's Creed IV: Black Flag,8.1
Assassin's Creed IV: Black Flag,7.9
Assassin's Creed IV: Black Flag,7.8
Assassin's Creed IV: Black Flag,7.7
Assassin's Creed IV: Black Flag,7.7
Assassin's Creed Syndicate,6.8
Assassin's Creed Syndicate,6.1
Assassin's Creed Syndicate,5.9
Assassin's Creed The Ezio Collection,7.4
Assassin's Creed The Ezio Collection,7.6
Assetto Corsa,6.2
Assetto Corsa,6.7
Astonishia Story,4.9
Astro Boy,6.9
Astro Boy: Omega Factor,8.6
Astro Boy: The Video Game,5
Astro Boy: The Video Game,3.5
Asura's Wrath,7.4
Asura's Wrath,6.5
Atari Anthology,4.3
Atari Classics Evolved,6
Atelier Annie: Alchemists of Sera Island,6.7
Atelier Ayesha: The Alchemist of Dusk,6.6
Atelier Iris: Eternal Mana,7.7
Atelier Iris 2: The Azoth Of Destiny,7.8
Atelier Shallie: Alchemists of the Dusk Sea,7.7
Atelier Sophie: The Alchemist of the Mysterious Book,8.1
Atelier Totori: The Adventurer of Arland,6.7
Athens 2004,7.2
Atomic Betty,7.5
Attack of the Movies 3D,1.7
Attack on Titan: Humanity in Chains,4.5
ATV Offroad Fury,8.4
ATV Offroad Fury: Blazin' Trails,7.8
ATV Offroad Fury 2,8.9
ATV Offroad Fury 3,8.4
ATV Quad Power Racing 2,9
Auto Modellista,7.5
Avalon Code,7.4
A Vampyre Story,8.5
Avatar: The Last Airbender,6.5
Avatar: The Last Airbender,6.4
Avatar: The Last Airbender,5.8
Avatar: The Last Airbender,6.3
A Witch's Tale,6.2
Azure Striker Gunvolt,8.4
Azurik: Rise of Perathia,8.5
Back to the Future: The Game,6.8
Back to the Future: The Game,4.1
Backyard Baseball,9.4
Backyard Baseball '09,7.8
Backyard Wrestling: Don't Try This at Home,7.8
Backyard Wrestling: Don't Try This at Home,5
Backyard Wrestling 2: There Goes the Neighborhood,4.7
Bad Boys: Miami Takedown,3.4
Bad Boys: Miami Takedown,5.9
Bad Boys: Miami Takedown,2
Baja: Edge of Control,5
Baja: Edge of Control,7.1
Bakugan: Battle Brawlers,6.7
Bakugan: Battle Brawlers,7.2
Bakugan: Battle Brawlers,5.2
Bakugan: Battle Brawlers,8.2
Baldur's Gate: Dark Alliance,8.3
Baldur's Gate: Dark Alliance,8.3
Baldur's Gate: Dark Alliance,7.7
Baldur's Gate: Dark Alliance,17
Baldur's Gate: Dark Alliance II,8.7
Baldur's Gate: Dark Alliance II,7.9
Ball Breakers,5.3
Balls of Fury,2.8
Band Hero,6.6
Band Hero,5
Band Hero,5.7
Band Hero,7
Bangai-O Spirits,8.1
Banjo-Kazooie,8.2
Banjo-Kazooie: Grunty's Revenge,8.1
Banjo-Pilot,5.9
Barbie Groovy Games,7
Barnyard,8.7
Barnyard,5.7
Baroque,8.8
Baroque,8.1
Baseball Advance,7.8
Bass Pro Shops: The Strike,5.8
Bass Strike,5.8
Baten Kaitos: Eternal Wings and the Lost Ocean,9
Baten Kaitos Origins,8.9
Batman: Arkham Asylum,8.9
Batman: Arkham Asylum,8.7
Batman: Arkham Asylum,8.7
Batman: Arkham City,8.6
Batman: Arkham City,8.7
Batman: Arkham City,8.6
Batman: Arkham Knight,7.6
Batman: Arkham Knight,6.6
Batman: Arkham Knight,2.5
Batman: Arkham Origins,7.7
Batman: Arkham Origins,7.5
Batman: Arkham Origins,7.5
Batman: Arkham Origins,7.4
Batman: Arkham Origins Blackgate,6.8
Batman: Arkham Origins Blackgate,6.8
Batman: Arkham VR,7.3
Batman: Dark Tomorrow,3.6
Batman: Dark Tomorrow,3.2
Batman: Return to Arkham,8.5
Batman: Return to Arkham,8.2
Batman: Rise of Sin Tzu,8.3
Batman: Rise of Sin Tzu,7.7
Batman: Rise of Sin Tzu,6.8
Batman: The Brave and the Bold the Videogame,8
Batman: Vengeance,6.7
Batman: Vengeance,5.8
Batman Begins,7.3
Batman Begins,7.1
Batman Begins,6.9
Batman Begins,7.2
Battalion Wars,8.8
Battalion Wars 2,7.6
Battle Arena Toshinden,6.3
Battle Assault 3 featuring Gundam Seed,8.7
Battleborn,6.8
Battleborn,7.2
Battleborn,6.9
Battle Engine Aquila,9
Battle Fantasia,6.6
Battlefield: Bad Company,7.7
Battlefield: Bad Company,8.1
Battlefield: Bad Company 2,8.6
Battlefield: Bad Company 2,8.5
Battlefield: Bad Company 2,8.3
Battlefield: Hardline,5
Battlefield: Hardline,5.1
Battlefield: Hardline,3.8
Battlefield 1,8.4
Battlefield 1,8.2
Battlefield 1,7.6
Battlefield 1942,8.6
Battlefield 2,8.4
Battlefield 2: Modern Combat,8.2
Battlefield 2: Modern Combat,8.5
Battlefield 2: Modern Combat,7.3
Battlefield 2142,6.8
Battlefield 3,7.4
Battlefield 3,7.5
Battlefield 3,7.5
Battlefield 4,6.9
Battlefield 4,5.8
Battlefield 4,5.6
Battlefield 4,6.6
Battlefield 4,6
Battlefield Vietnam,7.5
BattleForge,7
Battle Princess of Arcadias,7.9
Battles of Prince of Persia,7.7
Battlestar Galactica,6.8
Battlestations: Midway,7.1
Battlestations: Midway,7.3
Battlestations: Pacific,7.4
Battlestations: Pacific,8.4
Battle Worlds: Kronos,7.1
Battlezone,7
Bayonetta,7.7
Bayonetta,8
Bayonetta 2,8.2
B-Boy,7.8
Beach Spikers: Virtua Beach Volleyball,8.1
Beat Down: Fists of Vengeance,8.1
Beaterator,7.8
BeatMania,8.9
Beautiful Katamari,7
Bee Movie Game,7.6
Bee Movie Game,5.8
Bee Movie Game,7.5
Bejeweled 3,8.1
Bejeweled Twist,7.3
Ben 10: Alien Force,7.8
Ben 10: Protector of Earth,7.7
Ben 10: Protector of Earth,7.2
Ben 10 Alien Force: Vilgax Attacks,4
Ben 10 Alien Force: Vilgax Attacks,8.3
